180	-0.071	290	10/17/2013
181	-0.072	290	10/17/2013
182	-0.078	290	10/17/2013
183	-0.084	290	10/17/2013
184	-0.09	290	10/17/2013
185	-0.095	290	10/17/2013
186	-0.1	290	10/17/2013
187	-0.105	290	10/17/2013
188	-0.108	290	10/17/2013
189	-0.113	290	10/17/2013
190	-0.117	290	10/17/2013
191	-0.123	290	10/17/2013
192	0.022	290	10/17/2013
193	0.245	291	10/18/2013
194	0.503	291	10/18/2013
195	0.75	291	10/18/2013
196	0.881	291	10/18/2013
197	0.844	291	10/18/2013
198	0.697	291	10/18/2013
199	0.537	291	10/18/2013
200	0.384	291	10/18/2013
201	0.237	291	10/18/2013
202	0.106	291	10/18/2013
203	-0.013	291	10/18/2013
204	-0.035	291	10/18/2013
205	-0.047	291	10/18/2013
206	-0.051	291	10/18/2013
207	-0.056	291	10/18/2013
208	-0.058	291	10/18/2013
209	-0.061	291	10/18/2013
210	-0.062	291	10/18/2013
211	-0.071	291	10/18/2013
212	-0.074	291	10/18/2013
213	-0.078	291	10/18/2013
214	-0.084	291	10/18/2013
215	-0.09	291	10/18/2013
216	-0.083	291	10/18/2013
217	0.149	291	10/18/2013
218	0.317	291	10/18/2013
219	0.49	291	10/18/2013
220	0.601	291	10/18/2013
221	0.555	291	10/18/2013
222	0.416	291	10/18/2013
223	0.276	291	10/18/2013
224	0.145	291	10/18/2013
225	-0.009	291	10/18/2013
226	-0.039	291	10/18/2013
227	-0.056	291	10/18/2013
228	-0.062	291	10/18/2013
229	-0.069	291	10/18/2013
230	-0.075	291	10/18/2013
231	-0.072	291	10/18/2013
232	-0.077	291	10/18/2013
233	-0.08	291	10/18/2013
234	-0.086	291	10/18/2013
235	-0.09	291	10/18/2013
236	-0.092	291	10/18/2013
237	-0.098	291	10/18/2013
238	-0.103	291	10/18/2013
239	-0.108	291	10/18/2013
240	-0.111	291	10/18/2013
241	-0.093	292	10/19/2013
242	0.22	292	10/19/2013
243	0.48	292	10/19/2013
244	0.745	292	10/19/2013
245	0.899	292	10/19/2013
246	0.888	292	10/19/2013
247	0.749	292	10/19/2013
248	0.586	292	10/19/2013
249	0.435	292	10/19/2013
250	0.283	292	10/19/2013
251	0.147	292	10/19/2013
252	-0.015	292	10/19/2013
253	-0.028	292	10/19/2013
254	-0.039	292	10/19/2013
255	-0.045	292	10/19/2013
256	-0.049	292	10/19/2013
257	-0.053	292	10/19/2013
258	-0.055	292	10/19/2013
259	-0.059	292	10/19/2013
260	-0.061	292	10/19/2013
261	-0.068	292	10/19/2013
262	-0.074	292	10/19/2013
263	-0.078	292	10/19/2013
264	-0.085	292	10/19/2013
265	-0.088	292	10/19/2013
266	0.09	292	10/19/2013
267	0.224	292	10/19/2013
268	0.365	292	10/19/2013
269	0.442	292	10/19/2013
270	0.401	292	10/19/2013
271	0.284	292	10/19/2013
272	0.162	292	10/19/2013
273	0.022	292	10/19/2013
274	-0.034	292	10/19/2013
275	-0.052	292	10/19/2013
276	-0.059	292	10/19/2013
277	-0.066	292	10/19/2013
278	-0.071	292	10/19/2013
279	-0.076	292	10/19/2013
280	-0.078	292	10/19/2013
281	-0.084	292	10/19/2013
282	-0.087	292	10/19/2013
283	-0.091	292	10/19/2013
284	-0.097	292	10/19/2013
285	-0.1	292	10/19/2013
286	-0.105	292	10/19/2013
287	-0.111	292	10/19/2013
288	-0.117	292	10/19/2013
289	-0.122	293	10/20/2013
290	-0.116	293	10/20/2013
291	0.18	293	10/20/2013
292	0.415	293	10/20/2013
293	0.664	293	10/20/2013
294	0.814	293	10/20/2013
295	0.809	293	10/20/2013
296	0.68	293	10/20/2013
297	0.531	293	10/20/2013
298	0.387	293	10/20/2013
299	0.247	293	10/20/2013
300	0.114	293	10/20/2013
301	-0.028	293	10/20/2013
302	-0.044	293	10/20/2013
303	-0.051	293	10/20/2013
304	-0.056	293	10/20/2013
305	-0.061	293	10/20/2013
306	-0.065	293	10/20/2013
307	-0.065	293	10/20/2013
308	-0.073	293	10/20/2013
309	-0.079	293	10/20/2013
310	-0.089	293	10/20/2013
311	-0.094	293	10/20/2013
312	-0.102	293	10/20/2013
313	-0.108	293	10/20/2013
314	-0.113	293	10/20/2013
315	0.032	293	10/20/2013
316	0.151	293	10/20/2013
317	0.255	293	10/20/2013
318	0.32	293	10/20/2013
319	0.275	293	10/20/2013
320	0.169	293	10/20/2013
321	0.048	293	10/20/2013
322	-0.049	293	10/20/2013
323	-0.067	293	10/20/2013
324	-0.079	293	10/20/2013
325	-0.087	293	10/20/2013
326	-0.095	293	10/20/2013
327	-0.098	293	10/20/2013
328	-0.105	293	10/20/2013
329	-0.107	293	10/20/2013
330	-0.112	293	10/20/2013
331	-0.117	293	10/20/2013
332	-0.121	293	10/20/2013
333	-0.123	293	10/20/2013
334	-0.127	293	10/20/2013
335	-0.133	293	10/20/2013
336	-0.135	293	10/20/2013
337	-0.14	294	10/21/2013
338	-0.141	294	10/21/2013
339	-0.14	294	10/21/2013
340	0.109	294	10/21/2013
341	0.296	294	10/21/2013
342	0.513	294	10/21/2013
343	0.681	294	10/21/2013
344	0.709	294	10/21/2013
345	0.609	294	10/21/2013
346	0.467	294	10/21/2013
347	0.329	294	10/21/2013
348	0.192	294	10/21/2013
349	0.066	294	10/21/2013
350	-0.029	294	10/21/2013
351	-0.047	294	10/21/2013
352	-0.054	294	10/21/2013
353	-0.059	294	10/21/2013
354	-0.066	294	10/21/2013
355	-0.068	294	10/21/2013
356	-0.073	294	10/21/2013
357	-0.079	294	10/21/2013
358	-0.085	294	10/21/2013
359	-0.09	294	10/21/2013
360	-0.101	294	10/21/2013
361	-0.109	294	10/21/2013
362	-0.116	294	10/21/2013
363	-0.121	294	10/21/2013
364	-0.096	294	10/21/2013
365	0.043	294	10/21/2013
366	0.115	294	10/21/2013
367	0.145	294	10/21/2013
368	0.095	294	10/21/2013
369	-0.037	294	10/21/2013
370	-0.06	294	10/21/2013
371	-0.072	294	10/21/2013
372	-0.078	294	10/21/2013
373	-0.088	294	10/21/2013
374	-0.094	294	10/21/2013
375	-0.099	294	10/21/2013
376	-0.103	294	10/21/2013
377	-0.105	294	10/21/2013
378	-0.109	294	10/21/2013
379	-0.111	294	10/21/2013
380	-0.115	294	10/21/2013
381	-0.121	294	10/21/2013
382	-0.122	294	10/21/2013
383	-0.129	294	10/21/2013
384	-0.134	294	10/21/2013
385	-0.138	295	10/22/2013
386	-0.139	295	10/22/2013
387	-0.143	295	10/22/2013
388	-0.143	295	10/22/2013
389	0.033	295	10/22/2013
390	0.193	295	10/22/2013
391	0.345	295	10/22/2013
392	0.472	295	10/22/2013
393	0.514	295	10/22/2013
394	0.449	295	10/22/2013
395	0.333	295	10/22/2013
396	0.216	295	10/22/2013
397	0.108	295	10/22/2013
398	-0.021	295	10/22/2013
399	-0.04	295	10/22/2013
400	-0.048	295	10/22/2013
401	-0.055	295	10/22/2013
402	-0.062	295	10/22/2013
403	-0.07	295	10/22/2013
404	-0.074	295	10/22/2013
405	-0.081	295	10/22/2013
406	-0.085	295	10/22/2013
407	-0.093	295	10/22/2013
408	-0.101	295	10/22/2013
409	-0.11	295	10/22/2013
410	-0.122	295	10/22/2013
411	-0.128	295	10/22/2013
412	-0.136	295	10/22/2013
413	-0.136	295	10/22/2013
414	-0.103	295	10/22/2013
415	-0.021	295	10/22/2013
416	-0.047	295	10/22/2013
417	-0.081	295	10/22/2013
418	-0.105	295	10/22/2013
419	-0.119	295	10/22/2013
420	-0.131	295	10/22/2013
421	-0.137	295	10/22/2013
422	-0.145	295	10/22/2013
423	-0.153	295	10/22/2013
424	-0.158	295	10/22/2013
425	-0.16	295	10/22/2013
426	-0.162	295	10/22/2013
427	-0.166	295	10/22/2013
428	-0.168	295	10/22/2013
429	-0.169	295	10/22/2013
430	-0.172	295	10/22/2013
431	-0.178	295	10/22/2013
432	-0.182	295	10/22/2013
433	-0.185	296	10/23/2013
434	-0.188	296	10/23/2013
435	-0.194	296	10/23/2013
436	-0.197	296	10/23/2013
437	-0.195	296	10/23/2013
438	-0.182	296	10/23/2013
439	0.06	296	10/23/2013
440	0.178	296	10/23/2013
441	0.286	296	10/23/2013
442	0.339	296	10/23/2013
443	0.276	296	10/23/2013
444	0.185	296	10/23/2013
445	0.093	296	10/23/2013
446	-0.031	296	10/23/2013
447	-0.058	296	10/23/2013
448	-0.069	296	10/23/2013
449	-0.075	296	10/23/2013
450	-0.086	296	10/23/2013
451	-0.092	296	10/23/2013
452	-0.096	296	10/23/2013
453	-0.099	296	10/23/2013
454	-0.105	296	10/23/2013
455	-0.111	296	10/23/2013
456	-0.121	296	10/23/2013
457	-0.132	296	10/23/2013
458	-0.14	296	10/23/2013
459	-0.151	296	10/23/2013
460	-0.158	296	10/23/2013
461	-0.161	296	10/23/2013
462	-0.164	296	10/23/2013
463	-0.166	296	10/23/2013
464	-0.157	296	10/23/2013
465	-0.155	296	10/23/2013
466	-0.163	296	10/23/2013
467	-0.171	296	10/23/2013
468	-0.177	296	10/23/2013
469	-0.18	296	10/23/2013
470	-0.186	296	10/23/2013
471	-0.189	296	10/23/2013
472	-0.189	296	10/23/2013
473	-0.191	296	10/23/2013
474	-0.194	296	10/23/2013
475	-0.195	296	10/23/2013
476	-0.196	296	10/23/2013
477	-0.198	296	10/23/2013
478	-0.203	296	10/23/2013
479	-0.206	296	10/23/2013
480	-0.209	296	10/23/2013
481	-0.211	297	10/24/2013
482	-0.214	297	10/24/2013
483	-0.217	297	10/24/2013
484	-0.218	297	10/24/2013
485	-0.221	297	10/24/2013
486	-0.226	297	10/24/2013
487	-0.223	297	10/24/2013
488	-0.142	297	10/24/2013
489	0.059	297	10/24/2013
490	0.139	297	10/24/2013
491	0.187	297	10/24/2013
492	0.149	297	10/24/2013
493	0.08	297	10/24/2013
494	-0.018	297	10/24/2013
495	-0.044	297	10/24/2013
496	-0.062	297	10/24/2013
497	-0.067	297	10/24/2013
498	-0.071	297	10/24/2013
499	-0.074	297	10/24/2013
500	-0.08	297	10/24/2013
501	-0.088	297	10/24/2013
502	-0.096	297	10/24/2013
503	-0.105	297	10/24/2013
504	-0.114	297	10/24/2013
505	-0.126	297	10/24/2013
506	-0.138	297	10/24/2013
507	-0.15	297	10/24/2013
508	-0.156	297	10/24/2013
509	-0.162	297	10/24/2013
510	-0.165	297	10/24/2013
511	-0.167	297	10/24/2013
512	-0.165	297	10/24/2013
513	-0.169	297	10/24/2013
514	-0.171	297	10/24/2013
515	-0.173	297	10/24/2013
516	-0.173	297	10/24/2013
517	-0.175	297	10/24/2013
518	-0.177	297	10/24/2013
519	-0.177	297	10/24/2013
520	-0.178	297	10/24/2013
