  -0.00000000       0.00000000    
  -6.55670789E-08   1.49950945    
  -1.31134158E-07   2.99803805    
  -1.96701251E-07   4.49558544    
  -2.62268316E-07   5.99215221    
  -3.27835409E-07   7.48773718    
  -3.93402502E-07   8.98234177    
  -4.58969595E-07   10.4759655    
  -5.24536631E-07   11.9686079    
  -5.90103696E-07   13.4602690    
  -6.55670817E-07   14.9509487    
  -7.21237882E-07   16.4406490    
  -7.86805003E-07   17.9293671    
  -8.52372068E-07   19.4171047    
  -9.17939190E-07   20.9038620    
  -9.83506197E-07   22.3896351    
  -1.04907326E-06   23.8744316    
  -1.11464044E-06   25.3582458    
  -1.18020739E-06   26.8410759    
  -1.24577457E-06   28.3229294    
  -1.31134163E-06   29.8037987    
  -1.37690870E-06   31.2836876    
  -1.44247576E-06   32.7625961    
  -1.50804283E-06   34.2405243    
  -1.57361001E-06   35.7174721    
  -1.63917707E-06   37.1934357    
  -1.70474414E-06   38.6684227    
  -1.77031109E-06   40.1424217    
  -1.83587838E-06   41.6154480    
  -1.90144533E-06   43.0874901    
  -1.96701239E-06   44.5585480    
  -2.03257969E-06   46.0286293    
  -2.09814652E-06   47.4977264    
  -2.16371359E-06   48.9658432    
  -2.22928088E-06   50.4329834    
  -2.29484795E-06   51.8991394    
  -2.36041478E-06   53.3643074    
  -2.42598207E-06   54.8285065    
  -2.49154914E-06   56.2917175    
  -2.55711620E-06   57.7539444    
  -2.62268327E-06   59.2151947    
  -2.68825033E-06   60.6754684    
  -2.75381740E-06   62.1347542    
  -2.81938446E-06   63.5930672    
  -2.88495153E-06   65.0503922    
  -2.95051859E-06   66.5067368    
  -3.01608566E-06   67.9621048    
  -3.08165295E-06   69.4164886    
  -3.14722001E-06   70.8698883    
  -3.21278685E-06   72.3223114    
  -3.27835414E-06   73.7737503    
  -3.34392121E-06   75.2242126    
  -3.40948827E-06   76.6736908    
  -3.47505511E-06   78.1221771    
  -3.54062217E-06   79.5696945    
  -3.60618969E-06   81.0162354    
  -3.67175676E-06   82.4617920    
  -3.73732360E-06   83.9063644    
  -3.80289066E-06   85.3499603    
  -3.86845750E-06   86.7925644    
  -3.93402479E-06   88.2341919    
  -3.99959208E-06   89.6748505    
  -4.06515937E-06   91.1145172    
  -4.13072621E-06   92.5532074    
  -4.19629305E-06   93.9909134    
  -4.26186034E-06   95.4276352    
  -4.32742718E-06   96.8633728    
  -4.39299447E-06   98.2981415    
  -4.45856176E-06   99.7319260    
  -4.52412860E-06   101.164726    
  -4.58969589E-06   102.596550    
  -4.65526273E-06   104.027390    
  -4.72082957E-06   105.457237    
  -4.78639686E-06   106.886116    
  -4.85196415E-06   108.314018    
  -4.91753144E-06   109.740936    
  -4.98309828E-06   111.166870    
  -5.04866512E-06   112.591827    
  -5.11423241E-06   114.015793    
  -5.17979925E-06   115.438782    
  -5.24536654E-06   116.860794    
  -5.31093383E-06   118.281830    
  -5.37650067E-06   119.701881    
